"","participant_id","comments","condition"
"114","p114","I found the experiment very interesting. In the experiment to figure out the labels I would see if the color is related to which label to pick or the different shapes. ","random_associations"
"115","p115",NA,"fixed_associations"
"116","p116",NA,"random_associations"
"117","p117","I did not take notes but I tried to follow the colors to make connections between the images. In my mind the pig was pink volcano was red banana was yellow and the buildings were gray. However in that round it seemed like my partner wanted to focus more on how the shapes were similar to one another - they kept choosing circle (gray) for the pig as if both were round the pentagon (yellow) for buildings since both were pointy etc. In the last round with the emotions I managed to sway my partner back into following the colors instead of shapes. For instance they kept selecting circle for the smiling girl presumably because she had a round face but I knew yellow was considered a happy color so I kept insisting on the pentagon until my partner changed their communication methods. In the end we agreed the cross (red) was anger the pentagon (yellow) was happiness the circle (gray) was sadness and the hexagon (pink) was romance.","fixed_associations"
"118","p118","I chose rectilinear shapes for positive emotions angular for negative. ","random_associations"
"119","p119",NA,"random_associations"
"120","p120",NA,"fixed_associations"
"121","p121",NA,"fixed_associations"
"122","p122","We found it easier to associate emotions with shapes at the end in the stages before we had a few common shapes we started to recognise but not consistently.","fixed_associations"
"123","p123","I loved the experiment. I think each category we initially got 1 or 2 wrong but eventually understood each other and were able to get those pleasant clinks. I think it opened me up more to realizing that language is a give & take. We can always learn what we want to say to each other just by being attentive and reciprocating back.","random_associations"
"124","p124","I saw the cross as red and the star as yellow. I initially paired the star with banana as I saw them both as yellow but my partner had paired star with volcano - I also saw this as making sense as fire is involved with both. I saw the angry man with the star for the same reason.","random_associations"
"125","p125","Word association generally - a diamond smile cross makes you cry a pointy volcano etc","fixed_associations"
"126","p126",NA,"fixed_associations"
"127","p127",NA,"random_associations"
"128","p128",NA,"fixed_associations"
"129","p129","I memorised by naming things and repeating them out loud to myself. Eg 'red round' yellow square' ' screaming square' 'upsy turvy love' etc.","random_associations"
"130","p130","Difficult when shapes changed to remember which represented which. I just said to myself cross - angry square - happy etc and tried to remember.","random_associations"
"131","p131",NA,"random_associations"
"132","p132","Cross = red = volcano = angry because red cross lava is depicted as red cross is a synonym of angry","random_associations"
"133","p133","No notes in the last section I made up feelings about the shapes to fit in the picture. For example the couple was a circle as they seemed so whole. Angry guy seemed edgy so I chose a shape to fit that..","random_associations"
"134","p134","I didn't take notes but the experiment went well and I was glad I had a partner on the same wave length as me in terms of attentiveness. I felt we managed to get a pretty good score between us! I would love to do something like this again! Cheers","fixed_associations"
"135","p135","Association with colour and emotions e.g. red with anger ","fixed_associations"
"136","p136",NA,"random_associations"
"137","p137","As for the emotions I choose the plus symbol for the happy girl since it's a positive emotion the star for the couple because of the phrase star-crossed lovers.","random_associations"
"138","p138","The first set of images was ok afterwards it became senseless.","random_associations"
"139","p139",NA,"fixed_associations"
"140","p140","I tried to think how it might get harder as I was going along and realised the colours were important so I paid more attention to them then later when the people were used as labels I thought it was the colour associated with the emotion so I expected the couple to be pink the angry person to be red and the sad person to be grey but when I realised this was wrong I saw that it was just the colour of the picture?? Except the couple one. ","fixed_associations"
"141","p141","As the first sender I stuck with my selections and waited for the receiver to oblige. Then it became an elimination process until we were aligned. My partner felt what I was doing because we aligned quickly. This was an enjoyable study. Thank you. ","fixed_associations"
"142","p142","This was a perfectly well thought out experiment! Well done! I thoroughly enjoyed it especially the figuring out of the new levels of difficulty. Thank you for allowing me to participate.","fixed_associations"
"143","p143","for the pictures i had to master which one goes where and with the colors i had memorized the colors the shapes had been presented in first. ","fixed_associations"
"144","p144","I did not take any notes I tried to find a way to communicate with my partner by connecting one picture with one shape. By creating this pattern my partner did a great job and understood what I was trying to do and we were correct most of the time.","random_associations"
"145","p145","This study has taught me that I tend to associate colours with emotions and sometimes objects.","fixed_associations"
"146","p146","I didn't take any note at all. I was mostly annoyed at how long my partner kept me waiting in the pauses! I felt that if I had a better memory I would have done better and my partner was probably annoyed that I kept making mistakes. ","random_associations"
"147","p147","I just put used trial and error to figure out which shape corresponded to which picture color and shape.","random_associations"
"148","p148","the shapes and emotions were easy for us but found we did not have good communication in the other fields. ","fixed_associations"
"149","p149","First i tried to match the sides where the picture was then synced with my partner on which shape would represent what. Such fun.","random_associations"
"150","p150","I just thought what it could be did not take notes or anything similiar","fixed_associations"
"151","p151","It was a matter if trial and error and some process of elimination.","fixed_associations"
"152","p152","1st quarter: obviously shape pairing nothing to comment on.","fixed_associations"
"153","p153","associated each shape with the given colour then continued to use those colours to associate the next images/shapes with them.","fixed_associations"
"154","p154","For the icon section I chose a shape based on what first came to mind regardless of colour association. We then later altered the relation to accommodate a shape we had left out. We first had the square chosen for the skyscrapers/buildings and then when the banana came up we allocated the square for the banana based on colour. We had to find an alternative for the skyscrapers/buildings and we chose the pentagon as it was the only non-allocated shape. ","fixed_associations"
"155","p155","I think first association was shapes to colours so we had back and forth at the start until we accepted whos ideas to take on and designate which colour was which shape","random_associations"
"156","p156",NA,"random_associations"
"157","p157",NA,"random_associations"
"158","p158","very interesting and insightful experiment. I used similar shapes random guesses on the different expressions that would have come up per time ","fixed_associations"
"159","p159","At first I was confused then figured that there is a shape assigned for each picture. I only figured this out late in the last round. ","fixed_associations"
"160","p160",NA,"fixed_associations"
"161","p161","By using association. So in my mind red = stop sign = circle = volcano but also became the symbol for the sunset","random_associations"
"162","p162","I tried to use a shape that seemed closest description to the picture and stuck with the same ones in the hopes my partner would pick it up.","fixed_associations"
"163","p163","Using shapes to identify pictures we went back and forth on using one shape to identify a picture. So with that there were a few incorrect answers in the beginning till be both got a hang of it and it was smooth sailing from there. All in all an interesting experiment. ","random_associations"
"164","p164",NA,"random_associations"
"165","p165","We eventually got a pattern together with each section we would both get the first few wrong but during this we would pick up a routine to choices that match and as we got used to each one we would begin getting more answers correct ","fixed_associations"
"166","p166","Wow such fun thank you. I found the different shapes colours hard but fun to try to work out the colour order. I didn't do well there. The animals to shapes. We worked out together somehow. Was amazing. Sometimes a bit off in the beginning. So the banana looked like a star kind of thing. We picked up on each other quickly how we both saw the shapes. gelled. and with the last lot - the cross for the angry man. the diamond for the couple.  star for the happy young girl. and the last shape for the sad. Thank you. Kind regards Brigitte.","fixed_associations"
"167","p167","all went well","random_associations"
"168","p169",NA,"fixed_associations"
"169","p170","I REALISED THAT YOU CAN ADJUST YOUR MEMORY BY LINKING IT TO A CERTAIN IDEA AND YOU CAN CHANGE SOMEONES MIND TO ADJUST TO YOUR WAY OF THINKING OVERTIME WITH AUTO SUGGESTIONS.","random_associations"
"170","p171","I'm glad I paid attention to the colors used on the shapes otherwise I would have struggled. But I got confused on which shapes and colors to use on the emotions.","fixed_associations"
"171","p172","I think we figured out our rhythm more towards the end. We assigned a specific shape to a specific picture. so every time he or she would send a specific shape I would know which picture to choose based on the shape","random_associations"
"172","p173",NA,"fixed_associations"
"173","p174","The first part was very easy as it was a given one the second part was very confusing therefore I had to guess all the way The third part I used the gestures of the people or should I say the facial expressions to decide on the shapes to click for example a mad face I would literally click the cross a happy one the star and so on... Thank you for this experiment it was a lot of fun.","fixed_associations"
"174","p175",NA,"random_associations"
"175","p176","I figure out that every shape had different colors and the object determines the emotions.For example in the begining it is very easy to communicate beacuse of the shape only but when the shape had already color little tricky to choose until to the last where pictures of different emotions was showing up.little bit confusing hehehe.but i enjoyed your survey.","random_associations"
"176","p177","no comment.","fixed_associations"
"177","p178",NA,"random_associations"
"178","p179",NA,"random_associations"
"179","p180","I did not take any notes which is probably obvious given how we totally failed communicating when we had to match to the colored blob shapes. ","random_associations"
"180","p181","I found this study fascinating it was so cool to see that just by clicking the same symbol each time the same colour or shape came up the other person quickly joined in associating these things. I personally chose to lead in that I would click the symbol I felt went together and upon the other person choosing incorrectly I chose not to allow their choice to become the accepted association and instead stick to my guns and allow the person to see my choices were the same for the recurring shapes and follow along accordingly. I was also fascinated to see how many few rounds it took for this to happen.","random_associations"
"181","p182","I originally was confused then realised i could relate the colours to the splats and pictures red or anger in the hexagon love and pink in the diamond happiness and yellow in the cross and sadness and grey in the circle. After the first break though it did feel like answers were randomised by a computer rather than there actually being another person picking answers.","fixed_associations"
"182","p183","I tried to copy what my partner chose but this only worked sometimes on the images with people. ","fixed_associations"
"183","p184","The shapes were pretty straight forward just selecting the corresponding shape. Then I made a mental note of the colours of each shape. Then associated each colour of each shape to the picture e.g. red square for the volcano grey cross for the buildings peach circle for the pig and the yellow hexagon for the banana. The last round was a bit more difficult as I didn't know what the other person was associating for each emotion. So after getting a few wrong I was making mental notes of what shape they were associating with what emotion and using that as a reference to what shape to send to them e.g. cross for love circle for anger hexagon for sadness and square for happiness. I basically let them choose the shape for the emotion and used that as a key for the rest.","fixed_associations"
"184","p185",NA,"fixed_associations"
"185","p186","when the pictures appeared I tried to choose the shape we had associated with a colour in previous trials to relate to the main colour of the photo but that didn't work.","random_associations"
"186","p187","I watched their selections and tried to remember their choices.  I think they did the same and by the last round we had it figured out.  Good fun thanks","fixed_associations"
"187","p188",NA,"random_associations"
"188","p189",NA,"random_associations"
"189","p190","We seemed to create a code through trial and error improving when matching shapes to objects and people and almost getting it straight away when it came to the final rounds of matching shapes to emotions. We both improved and worked together. ","random_associations"
"190","p191",NA,"fixed_associations"
"191","p192","I enjoyed this experiment very much.  I was confused when the color was a blob but my partner and I made a great team.","random_associations"
"192","p193","Remembering patterns thats were 'correct'","fixed_associations"
"193","p194",NA,"random_associations"
"194","p195","I didn't write anything down. I linked colours to shapes as they made sense to me. E.g. Yellow and star as stars are usually drawn as yellow. Pink to pentagon because they both start with P. Red with cross because of the red cross. Then grey with octagon because those were the only ones left over. Then I matched colours with emotions. Red to anger yellow to happiness grey to sadness and pink to love. ","random_associations"
"195","p196","Star=yellow/Like the sun/like a banana/happy emotion ","fixed_associations"
"196","p197",NA,"fixed_associations"
"197","p198","Found it easy to form a pattern with my partner especially once we got further into the experiment and were used to quickly forming our new 'languages'","random_associations"
"198","p199","I didn't take any notes. At first it was clear as the shapes were just exactly the same then the colour was added in the middle of them but still the shapes were the same. Then when the colours were mixed up I remembered which shapes had been which colours and matched the colour with the shape. (eg diamond was pink cross was red). Then when it was the pictures I matched it as the volcano being red as lava is red the cityscape being grey because of the colour of the buildings the pig being pink. Then when it was the pictures of emotions it was harder at first but then made sense because red is associated with anger yellow with happiness grey with sadness and pink with love.","fixed_associations"
"199","p200","I realised that the shapes were a particular colour and used this to communicate colours. I then used these colours of the shapes to communicate the icons. Then the 'feel' of the colour allowed me to communicate the emotions. All done without notes!","fixed_associations"
"200","p201","Once we'd agreed on which shape etc to represent which picture it was easy to remember","fixed_associations"
"201","p202","The shapes all had different set colours. ","fixed_associations"
"202","p203","i struggled on the 2nd change but quickly picked it up.  wasn;t sure why my partner picked yellow for teh angry face i would have gone red having not seen the couple at that point","fixed_associations"
"203","p204","I tried to think about what colour the first 4 shapes were and apply this to the other images so yellow star - banana - sunshine. Red cross - chemical - anger. Pink pentagon - pig - love. Grey hexagon - buildings - sadness. It didn't always work though","fixed_associations"
"204","p205",NA,"random_associations"
"205","p206","i followed what my partner suggested ","fixed_associations"
"206","p207","at first we used the colours to help us navigate through then when we could no longer use the colours to help us (picture part) we chose the most appropriate shape for the picture IEthe cross for the cross man.","random_associations"
"207","p208","Really interesting !!","fixed_associations"
"208","p209","The first couple of experiments were easy as I could see the answers. The last ones were just random and very frustrating. I couldn't see a pattern in them at all so really don't understand what you are trying to prove.","random_associations"
"209","p210",NA,"fixed_associations"
"210","p211",NA,"fixed_associations"
"211","p212","It took some time at the start to understand what signal was what but towards the end we managed to find a rhythm and it worked well. I really enjoyed a feeling of success getting the answer right!","fixed_associations"
"212","p213","Square / smiling  I imagined this as being a balanced person","random_associations"
"213","p214",NA,"random_associations"
"214","p215","I find it difficult when I was not able to get a correct message to the receiver it made me uncomfortable as if I was letting them down.","random_associations"
"215","p216",NA,"fixed_associations"
"216","p217",NA,"fixed_associations"
"217","p219",NA,"random_associations"
