"","participant_id","comments","condition","block3_condition"
"120","p121","just used the colour associations given to us previously to communicate the shapes when it started changing up on us.","fixed_associations","coloured_shapes"
"121","p122",NA,"fixed_associations","coloured_shapes"
"122","p123","I tried to remember which labels they used when they were the sender and be consistent with those (red = diamond yellow=star grey=circle pink=pentagon)","random_associations","coloured_shapes"
"123","p124","I tried to associate each image with the corresponding shape in my memory. For example I figured that the pig was a hexagonal so I said to myself pig = hex This isn't to say that I got everything correct though as I certainly didn't.","fixed_associations","objects"
"124","p125","Figured out the more difficult ones just using trial and error and then just remembering which images linked to which shape.","random_associations","emotions"
"125","p126","It was tricky to develop associations between images/colours but me and my partner managed to get a feel near the end","random_associations","emotions"
"126","p127",NA,"fixed_associations","emotions"
"127","p128","Before the break very simple after i found no cohesion with any shapes or images hence why me and partner got a majority wrong...tyvm","random_associations","objects"
"128","p129","I did not figure out any method it was purely random as far as I was concerned.  More of a guess than anything else.  What I was hoping for if I continued to just pick one colour they would get the message but that didn't work ","fixed_associations","coloured_shapes"
"129","p130","I couldn't see a way of communicating the colour of a splodge when all I had were shapes. I tried to be consistent in the last section with shapes symbolising objects.","random_associations","objects"
"130","p131","I couldnt figure out a pattern to get the matches right when it got harder!","random_associations","coloured_shapes"
"131","p132",NA,"fixed_associations","coloured_shapes"
"132","p133","With the last set I just attributed a colour to the picture so pigs are pink and pink was the circle.","random_associations","objects"
"133","p134","At first it was easy and as things became more complicated I just went with my gut. What shape I felt matched the images though sometimes I must admit it became a bit random as it was difficult to rationalise. ","fixed_associations","objects"
"134","p135","i had more difficulty figuring out which shapes to send for the coloured ink blots I think me and my partner kinda synched up on some but not as much as the images of faces/emotions. For those I chose the shape that seemed to best match the emotion displayed and they were easier to remember as they were more distinct from each other than the ink blots","random_associations","emotions"
"135","p136","That was fun I think my partner and I managed to figure out a system whereby the first one to suggest a symbol to colour would be the one we sticked with and we managed to get a system going pretty quickly. ","random_associations","objects"
"136","p138",NA,"fixed_associations","coloured_shapes"
"137","p139","For the colour splodges I initially used the first picture with the first colour on the list.  With the shapes I tried to use a shape that maybe looked like the picture in some way.","random_associations","objects"
"138","p140","In the final 10 sets I clicked randomly as I believed we were being shown different images. Before that I tried to click the same icons for the same target image e.g. yellow splodge shape for star","fixed_associations","coloured_shapes"
"139","p141",NA,"fixed_associations","coloured_shapes"
"140","p142","I wasn't sure if the 2nd part after the break was a mistake with the survey. The first part was easy. After a bit I did realise there was some kind of pattern in the second part and I tried to communicate that.","random_associations","objects"
"141","p143","I couldn't figure out a pattern in my partners selections. It seemed to be random.","random_associations","objects"
"142","p144","I got really confused when the shapes did not match but I was trying to look for patterns but it did not work. ","random_associations","coloured_shapes"
"143","p145",NA,"random_associations","emotions"
"144","p146",NA,"random_associations","coloured_shapes"
"145","p147","I chose the coloured shapes by allocating a colour to each one and hoping my partner recognised the pattern and choose the right colour.","fixed_associations","emotions"
"146","p148",NA,"random_associations","coloured_shapes"
"147","p149",NA,"fixed_associations","coloured_shapes"
"148","p150",NA,"fixed_associations","emotions"
"149","p151",NA,"random_associations","emotions"
"150","p152","I just associated the colours with the shapes.","fixed_associations","coloured_shapes"
"151","p153","I really struggled and I am not sure that we got a communication going. I tried to remember the colour order that has been in the previous set of picutres mthe rest were guesses","fixed_associations","emotions"
"152","p154","I tried to use the shape with the corresponding shape. Same with the colour i would click on the corresponding colour. I used trial and error to identify what shape and colour corresponding. In the last part with a coloured shape i could not tell what it corresponded to.","random_associations","coloured_shapes"
"153","p155",NA,"fixed_associations","coloured_shapes"
"154","p156","With the colours of the 'splash' shapes I tried to use the colours of the previous geometric shapes to indicate which colour to select. With the emotions I tried to use the same system allocating each emotion a colour corresponding to the previous geometric shapes (except for anger which is called 'cross'","fixed_associations","emotions"
"155","p157","I tried to develop a pattern or be consistent in my responses for the same images in the hope that my partner would pick this up. ","random_associations","emotions"
"156","p158","My partner clearly was not going to accept my system of labelling so I was fine to accept theirs (I do wonder though were they a robot and was the point of the experiment to see who decides translation systems?). Was quite an interesting experiment thanks!","fixed_associations","objects"
"157","p159",NA,"random_associations","emotions"
"158","p160","To guess the shapes first I tried to remember which colours were used most often for which shapes in the previous trials and stick to that. To guess photos of people I tried to establish some continuity based on colour at first - like which colour was most prominent in which photo (the yellow for a lot of sunlight etc) and I chose the shape that meant that colour. ","random_associations","emotions"
"159","p161","I tried to remember which labels were correct and tried to decipher from that","fixed_associations","objects"
"160","p162","Good survey. I was tuned in with my partner after a couple of tries. You have a good day Josephine Bowerman. Cheers","fixed_associations","emotions"
"161","p163","i tried to remember from colours and memory but it got a bit confusing","random_associations","coloured_shapes"
"162","p164",NA,"fixed_associations","coloured_shapes"
"163","p165",NA,"fixed_associations","objects"
"164","p166",NA,"random_associations","objects"
"165","p167",NA,"fixed_associations","coloured_shapes"
"166","p168",NA,"random_associations","objects"
"167","p169",NA,"random_associations","emotions"
"168","p170","in the last segment I tried to use the shapes to mean something against the pictures eg the star was someone happy the cross was someone crying as I imagined it was someone on a cross.","random_associations","emotions"
"169","p171","Mostly guesswork.","random_associations","emotions"
"170","p172","For the pictures in the last part of the task the circle was the sun in the back of the picture of the couple the diamond was for the lady crying as her top was pink the pentagon looked like a house to me and there was a house in the background of the picture of the girl smiling and for the hexagon I thought the background colour was similar to the blue colour used earlier on in the task.","fixed_associations","emotions"
"171","p173",NA,"random_associations","coloured_shapes"
"172","p174",NA,"random_associations","objects"
"173","p175","Looked at the shapes in the first section but remembered the colours of each shape so when the shapes changed I soon realised it was by colour we needed to work. I think we did ok!","fixed_associations","coloured_shapes"
"174","p176","I think we came to an understanding through trial and error but it was a slow process","random_associations","emotions"
"175","p177","I just went by whatever shape/picture my partner had chosen first time and stuck to that.","fixed_associations","emotions"
"176","p178","I tended to try to understand which objects my partner chose which label for and then match it","fixed_associations","objects"
"177","p179",NA,"fixed_associations","objects"
"178","p180","Was a trial and error with the emotions - once we got one correct we stuck to that.","fixed_associations","emotions"
"179","p181",NA,"random_associations","emotions"
"180","p182","Just remembered when I made a match which ones we agreed on and then slowly built up a full set. On the last set I figured anger and red would be a match.","fixed_associations","emotions"
"181","p183","To find out how to communicate on the ;abels my partner and I just kept on guessing until we both realised what the label represented.","random_associations","emotions"
"182","p184","slowly figured out which shapes to communicate with each colour by picking a colour and sending that shape for that colour every time or matching what my partner picked previously ","random_associations","coloured_shapes"
"183","p185","Star = yellow","fixed_associations","objects"
"184","p186","difficult to follow when shape and colour changes as not sure if other person got correct.","random_associations","coloured_shapes"
"185","p187","I was really confused when it got to the coloured blobs! I couldn't recall if each shape was a specific colour or not but my partner and I seemed to eventually agree and get into a pattern. ","random_associations","objects"
"186","p188","When it changed to different splats I figured out the other person was using the following code:","fixed_associations","coloured_shapes"
"187","p189","This was fun and tested my memory association and communication skills!","random_associations","emotions"
"188","p190","In the shapes task it was as easy as picking the shape it was identical to.  In the squiggle shape task I tried to associate the colours with the different shapes ie red squiggle was a star.  I tried to associate the feelings of the people in the pictures as I would see them as a shape ie circle would be happy star would be angry.","random_associations","emotions"
"189","p191","I found this study very interesting. It was good to see that me and my partner seemed to quickly make a strategy particularly in the items and the shapes. We seemed to be very in tune with each other and established which shapes went to each item. I found the colour and shape one harder but I think at that point me and my partner didn't seem to get a strategy in place quick enough. ","fixed_associations","objects"
"190","p192",NA,"random_associations","coloured_shapes"
"191","p193","2nd half was quite frustrating as there didn't appear to be any rhyme or reason to the messages sending and what I was supposed to convey with those.","random_associations","emotions"
"192","p195","For the coloured squiggly shapes I just started assigning a particular shape (square circle etc) to each colour and hoped my partner would spot what I was doing. I also kept watch for any sign that my partner was attempting to do the same and if we seemed to be agreeing on a particular combination I kept using that. I followed the same strategy with the photos oddly it seemed to be easier to remember which was which with the photos.","random_associations","emotions"
"193","p196",NA,"random_associations","coloured_shapes"
"194","p197","took a few goes each time but we worked out labels that worked","random_associations","objects"
"195","p198","I just used my memory and tried to remember","fixed_associations","emotions"
"196","p199","At first I was associating typical colours to shapes yellow for a star red for a cross. Then it was trial and error/ relying on memory to try and be accurate","random_associations","objects"
"197","p200","A very clever and fun experiment!  It took a while to work out colour/shape combinations but for me early on I had gone with yellow for the star (seems obvious) and trial and error with the others until we both seemed to be on the same page. Red symbolising square seemed to work well both ways but pink and grey took a while to find their shape.","random_associations","coloured_shapes"
"198","p201","the hardest one was the faces ","random_associations","emotions"
"199","p202","once i understood it i only correlated the colours to certain shapes. very cool experiment","random_associations","coloured_shapes"
"200","p203",NA,"random_associations","coloured_shapes"
"201","p204","that was hard but fun","random_associations","emotions"
"202","p205","No time to take written notes.","fixed_associations","emotions"
"203","p206",NA,"fixed_associations","objects"
"204","p207",NA,"fixed_associations","coloured_shapes"
"205","p208","Both me and my partner both worked out a code early in the study for what shape matched the picture-very interesting! I didn't use notes but tried my best to remember what shape we used to associate it with a colour or picture","fixed_associations","emotions"
"206","p209","When the sender sent a specific colour picture or shape I copied and associated them together","fixed_associations","emotions"
"207","p210","Very tricky. easiest was to remember was red as I had a mental note red cross","random_associations","coloured_shapes"
"208","p211","No I didn't take notes.  I saw shapes and colours.  When the study changed I first decided that the star shape should be yellow (stars are yellow-that should be understandable).  They picked that up rather quickly.  Then I ended up going with the five sided shape as being pink (which they also pick up really quickly).  I made the largest (six sided shape) grey since grey was the darkest colour there which left the diamond being red.  They...did not pick this combination up quickly and often mixed the two up and sometimes assigned yellow those shapes as well.  I realized early on that their selections were not always consistent-thus they were not applying a scheme to the combinations.  Several times I was tempted to switch the grey/red combination since they might prefer it that way or pick up the match...but I decided against it.  The key was to keep being consistent and eventually my partner would pick up that one is the other.  If I were to switch half way they would not know it and think the first and second half were equivalent in what I was trying to say and I would seem to contradict myself and confuse them.  But they eventually got it!  The last 10 or so trials we must have gotten them all perfect! :)  There were a couple tricky times where the colour for the designated shape wasn't available..in which case I went with the closest shade of colour...that was not so well picked up I think.  Overall this was so fun!  It was like trying to teach someone a language.","random_associations","coloured_shapes"
"209","p212","No I did not make notes thats why I kept getting one symbol mixed up because my ryhming out loud system let me down a little at times.","fixed_associations","emotions"
"210","p213",NA,"random_associations","objects"
"211","p214","Thank you!","fixed_associations","objects"
"212","p215",NA,"random_associations","coloured_shapes"
"213","p216",NA,"random_associations","emotions"
"214","p217","I think I did figure out the formula eventually and I didn't write anything down","random_associations","coloured_shapes"
"215","p218",NA,"random_associations","emotions"
"216","p219","I just tried to use a way of thinking what shapes would be what colour logically like star yellow plus red square steel. but the other person didn't like square being steel so I just copied them.","fixed_associations","emotions"
"217","p220","In the second part I realised after a few mistakes that each shape represented a different colour. ","fixed_associations","coloured_shapes"
"218","p221",NA,"fixed_associations","objects"
"219","p222",NA,"fixed_associations","emotions"
"220","p223","The shapes matched each other. When doing the paint splatters I realised that the previous round had coloured shapes so tried to remember the colours of the shapes. For the last one I attempted to signal to my partner what I was doing but ultimately memorised what they were selecting rather than take the lead to ensure the highest correct answers.","fixed_associations","emotions"
"221","p224",NA,"random_associations","coloured_shapes"
"222","p225","Happy Face made by diamond Love makes you whole Angry makes you explode like a star shape and plus was left over.","random_associations","emotions"
"223","p226",NA,"fixed_associations","objects"
"224","p227",NA,"random_associations","objects"
"225","p228",NA,"fixed_associations","objects"
"226","p229","I tried to correlate a colour to a shape but this didn't seem to be useful.","random_associations","coloured_shapes"
"227","p230",NA,"random_associations","coloured_shapes"
"228","p231",NA,"fixed_associations","coloured_shapes"
"229","p232",NA,"fixed_associations","emotions"
"230","p233",NA,"fixed_associations","emotions"
"231","p234","Obviously when all the images were shapes I just selected the matching shape. When the set of shapes became a set of colours I tried to remember which colour each shape had been most of the time my memory of it wasn't great but based on my partner's answers I managed to remind myself a lot better. When the colours became pictures of people I chose the shape which represented a colour which the picture showed the most of. I'm not sure how to phrase it so I will give an example to help explain! For example I chose the pentagon to represent the picture that had the most red compared to the other pictures. ","random_associations","emotions"
"232","p235","I found this interesting and was glad my partner seemed to think in a comparable way as I did. We definitely were on the same page right away and only had a few early on that we missed in each section. ","fixed_associations","emotions"
"233","p236",NA,"random_associations","objects"
"234","p237","Seemed to be pretty emergent - I'd chose one arbitrarily and would follow what partner picked if I got one wrong.","random_associations","objects"
"235","p238","I promise I did not make any notes I made up songs in my head to match the items on the symbols on the last part. For example","random_associations","objects"
"236","p239","I memorised each shapes' associated colour in the first round and tried to communicate the colour choice needed by using its shape. My partner didn't seem to quite get that until near the end of the experiment. ","fixed_associations","coloured_shapes"
"237","p240","I just guessed every time and then kept saying them out loud until they changed again.","fixed_associations","objects"
"238","p241","i followed the shapes in the first part then when it changed to colours i just remembered the 4 colours of the shapes","fixed_associations","coloured_shapes"
"239","p242","I tried to remember the shapes as a verse.","random_associations","emotions"
"240","p243","I was only focusing on the green box and being accurate for most of the first half and didn't even think about paying attention to the colours of the shapes I noticed them when the colours first appeared but actually thought they were supposed to distract me so I tried to ignore them but then because it went on for so long I started to pay more attention to the colours out of boredom and I said in my mind yellow cross grey star red diamond towards the end of that part yet I noticed in the second half even when that was in my mind when selecting I wanted to choose yellow star or pink diamond because they seemed to fit together better and I had to stop myself from picking them a few times and even did once even while thinking about yellow cross grey star red diamond.","fixed_associations","coloured_shapes"
"241","p244","I tried to memorise the colours used for what object in my head and remember which colour coordinates with which shape to communicate to my partner what I think is the correct colour to the shape.","random_associations","coloured_shapes"
"242","p245","Just trying to remember what they picked beforehand for the image that was shown and kind of making a non-verbal mutual agreement on what to pick","random_associations","emotions"
"243","p246","I don't think my partner and I communicated well at all!  I was trying to communicate by colour so a star in the first round was mostly yellow so I used yellow when there were a group of stars.  Then I tried just clicking on the left choice as we didn't seem to be doing well. Then I went back to my colour system.  Then I probably just got confused!","fixed_associations","coloured_shapes"
"244","p247","Thank you. This sounds like really interesting research. I hope that it goes well.","random_associations","objects"
"245","p248",NA,"fixed_associations","coloured_shapes"
"246","p249","It was suprisingly tough at the third test - I was good at the first and second - but the communication was so much more tricky. I felt my partner was using their own colour association with diff. shapes!","fixed_associations","coloured_shapes"
"247","p250","I did not write anything down. I used the colours associated with the shapes to communicate with my partner - e.g. for the splats I used the star to indicate a red splat. For the symbol section I used to concept that bananas are yellow pigs are pink volcanos have red lava and cities are grey.","fixed_associations","objects"
"248","p251",NA,"fixed_associations","emotions"
"249","p252","Reds and yellows seem to come up the most from my partner","fixed_associations","coloured_shapes"
"250","p253","Just tried to remember the shape associated with a colour.","fixed_associations","coloured_shapes"
"251","p254",NA,"fixed_associations","coloured_shapes"
"252","p255","For a start I don't believe there was a human partner - I think it was a computer program.  Then on the last run through it was clear that the representative sketches should be associated with a colour which had already been associated with a shape;  however the selection of a square sometimes seemed to be linked with the buildings and sometimes the volcano so I couldn't really figure out where I was going wrong there.  Unless of course the computer was programmed to give deliberate errors now and again!","fixed_associations","objects"
"253","p256","When the shapes became more difficult and tried to follow a pattern of choosing but my partner did align with me.","fixed_associations","coloured_shapes"
"254","p257","I ultimately decided upon colours linked to the shapes and kept using them until the other participant worked out what I was doing!","random_associations","coloured_shapes"
"255","p258","it was trial and error in the second half as initially i was a bit thrown by the splashes that did not mirror any of the shapes. I had to keep trying to find the correct shape and link.","fixed_associations","coloured_shapes"
"256","p259","None thank you!","random_associations","objects"
